"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","424794.078","4579719.894","424702.198","4579518.985","2.099718","41.36366","METRO (L1) - RAMBLA JUST OLIVERAS-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","423054.646","4579117.514","422962.782","4578916.611","2.079","41.35807","METRO (L5) - GAVARRA-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431246.49","4584935.663","431154.552","4584734.703","2.176264","41.411214","METRO (L5) - SANT PAU-DOS DE MAIG (C. del Dos de Maig)-",2,6,"Eixample","la Sagrada Família",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431882.15","4587067.29","431790.206","4586866.31","2.183628","41.430467","METRO (L1) - FABRA I PUIG (Pg. de Fabra i Puig)-",9,60,"Sant Andreu","Sant Andreu",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430149.934","4582080.371","430058.005","4581879.438","2.163474","41.385403","METRO (L1) - UNIVERSITAT (Pl. de la Universitat)-",2,10,"Eixample","Sant Antoni",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431225.563","4581159.269","431133.624","4580958.344","2.176443","41.3772","METRO (L3) - DRASSANES (La Rambla)-",1,1,"Ciutat Vella","el Raval",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","433288.88","4585815.007","433196.923","4585614.039","2.200601","41.419306","METRO (L2) - SANT MARTÍ-",10,72,"Sant Martí","Sant Martí de Provençals",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428229.073","4581754.396","428137.162","4581553.467","2.140542","41.382298","METRO (L3) - SANTS ESTACIÓ (Jardins de Màlaga)-",3,18,"Sants-Montjuïc","Sants",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428967.022","4580997.444","428875.104","4580796.522","2.149455","41.375546","METRO (L1) - ESPANYA (C. de Tarragona)-",2,9,"Eixample","la Nova Esquerra de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428509.802","4580973.732","428417.888","4580772.81","2.143991","41.375292","METRO (L1) - HOSTAFRANCS-",3,15,"Sants-Montjuïc","Hostafrancs",,
"K008","Transports i serveis relacionats","Estació marítima","431596.808","4579587.081","431504.865","4579386.171","2.181059","41.363071","Estació Marítima A-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","425008.367","4575858.328","424916.484","4575657.454","2.102757","41.328901","METRO (L9 sud) - LES MORERES-",,,,,,
"K009","Transports i serveis relacionats","Funicular","427516.602","4585521.232","427424.698","4585320.268","2.13157","41.41616","Funicular TIBIDABO - inferior-",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",,
"K008","Transports i serveis relacionats","Estació marítima","431245.587","4580091.727","431153.647","4579890.812","2.176803","41.367586","Terminal GÉNOVA-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428633.646","4581280.318","428541.731","4581079.393","2.145436","41.378064","METRO (L3) - TARRAGONA (C. Sant Nicolau)-",3,15,"Sants-Montjuïc","Hostafrancs",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427434.114","4583481.448","427342.21","4583280.503","2.130828","41.397781","FGC (L6) - LES TRES TORRES-",5,24,"Sarrià-Sant Gervasi","les Tres Torres",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429242.29","4583714.245","429150.37","4583513.297","2.152429","41.400039","FGC (L6,L7) - GRÀCIA (Pl. de Gal·la Placídia)-",6,31,"Gràcia","la Vila de Gràcia",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","435576.564","4587594.033","435484.587","4587393.047","2.227784","41.435516","METRO (L2) - SANT ROC-",,,,,,
"K011","Transports i serveis relacionats","Tramvia","427509.632","4582543.837","427417.727","4582342.901","2.131844","41.389343","TRAMVIA (T1,T2,T3) - NUMÀNCIA-",4,19,"Les Corts","les Corts",,
"K011","Transports i serveis relacionats","Tramvia","426372.831","4582170.08","426280.937","4581969.147","2.118294","41.385874","TRAMVIA (T1,T2,T3) - PALAU REIAL-",4,20,"Les Corts","la Maternitat i Sant Ramon",,
"K011","Transports i serveis relacionats","Tramvia","427363.327","4585446.056","427271.425","4585245.093","2.129746","41.415469","TRAMVIA BLAU - AV. TIBIDABO (Parc Municipal Font Racó)-",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",,
"K011","Transports i serveis relacionats","Tramvia","432264.601","4584148.345","432172.653","4583947.392","2.188532","41.404209","TRAMVIA (T5, T6) - LA FARINERA-",10,66,"Sant Martí","el Parc i la Llacuna del Poblenou",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427824.633","4583461.639","427732.726","4583260.694","2.135502","41.397638","FGC (L6) - LA BONANOVA-",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428622.373","4584988.501","428530.459","4584787.542","2.144863","41.411461","METRO (L3) - VALLCARCA (Jardins Manuel Blancafort)-",6,28,"Gràcia","Vallcarca i els Penitents",,
"K011","Transports i serveis relacionats","Tramvia","435574.307","4587530.946","435482.33","4587329.961","2.227764","41.434948","TRAMVIA (T5) - SANT ROC-",,,,,,
"K011","Transports i serveis relacionats","Tramvia","434052.63","4584670.997","433960.666","4584470.039","2.209864","41.409066","TRAMVIA (T4) - SELVA DE MAR-",10,69,"Sant Martí","Diagonal Mar i el Front Marítim del Poblenou",,
"K010","Transports i serveis relacionats","Telefèric","430349.594","4579707.428","430257.662","4579506.517","2.166135","41.364048","Telefèric de Montjuïc - Castell-",3,11,"Sants-Montjuïc","el Poble-sec",,
"K008","Transports i serveis relacionats","Estació marítima","431466.424","4579312.228","431374.482","4579111.32","2.179532","41.360585","Estació Marítima C-",,,,,,
"K003","Transports i serveis relacionats","RENFE","432338.37","4593074.625","432246.424","4592873.59","2.188413","41.484611","RENFE - MONTCADA I REIXAC-",,,,,,
"K003","Transports i serveis relacionats","RENFE","420498.177","4581921.898","420406.337","4581720.969","2.048073","41.383079","RENFE - ST. FELIU DE LLOBREGAT-",,,,,,
"K003","Transports i serveis relacionats","RENFE","424877.07","4579784.77","424785.189","4579583.86","2.100702","41.364252","RENFE - L'HOSPITALET DE LLOBREGAT-",,,,,,
"K003","Transports i serveis relacionats","RENFE","432696.951","4587669.481","432605","4587468.496","2.193312","41.435959","RENFE - SANT ANDREU COMTAL-",9,60,"Sant Andreu","Sant Andreu",,
"K002","Transports i serveis relacionats","Ferrocarrils Generalitat (FGC)","427792.49","4583490.526","427700.583","4583289.581","2.135114","41.397895","FGC - BONANOVA-",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K002","Transports i serveis relacionats","Ferrocarrils Generalitat (FGC)","420052.849","4578048.029","419961.012","4577847.136","2.043259","41.348145","FGC - SANT BOI-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429941.182","4580949.994","429849.255","4580749.072","2.161109","41.375204","METRO (L3) - POBLE SEC (Av. del Paral.lel)-",2,10,"Eixample","Sant Antoni",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432509.314","4583116.479","432417.363","4582915.536","2.191575","41.394936","METRO (L4) - BOGATELL (C. de Pere IV)-",10,66,"Sant Martí","el Parc i la Llacuna del Poblenou",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427866.749","4581744.512","427774.841","4581543.583","2.13621","41.382176","METRO (L3) - PLAÇA DEL CENTRE (Pl. del Centre)-",4,19,"Les Corts","les Corts",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","425819.914","4581990.841","425728.025","4581789.91","2.111704","41.384208","METRO (L3) - ZONA UNIVERSITÀRIA (Av. Diagonal)-",4,20,"Les Corts","la Maternitat i Sant Ramon",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428896.762","4580887.245","428804.844","4580686.324","2.148628","41.374547","FGC (L8) - ESPANYA-",3,11,"Sants-Montjuïc","el Poble-sec",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430654.31","4582109.3","430562.376","4581908.367","2.169503","41.385707","FGC (L6,L7) - CATALUNYA-",2,7,"Eixample","la Dreta de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","425631.673","4578364.096","425539.785","4578163.199","2.109898","41.351527","METRO (L1) - BELLVITGE-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430958.27","4582529.72","430866.334","4582328.783","2.17309","41.38952","METRO (L1) - URQUINAONA-",2,7,"Eixample","la Dreta de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432090.667","4586009.797","431998.721","4585808.827","2.186242","41.42096","METRO (L9 nord, L10) - LA SAGRERA-",9,61,"Sant Andreu","la Sagrera",,
